id,contract_type/id,contract_type/description/fi,contract_type/description/sv,contract_type/description/en,name/fi,name/sv,name/en,street_address/fi,street_address/sv,street_address/en,municipality,location/type,location/coordinates/0,location/coordinates/1,department/id,department/name/fi,department/name/sv,department/name/en,department/street_address,department/municipality,sort_index,object_type,score,department/street_address/fi,department/street_address/sv,department/street_address/en,period_enabled,clarification_enabled,root_service_node,unit_count/municipality/kauniainen,unit_count/municipality/helsinki,unit_count/total
8976,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Kangasalantien väestönsuoja,Kangasalavägens befolkningsskyddsrum,Kangasalantie bomb shelter,Kangasalantie 12,Kangasalavägen 12,Kangasalantie 12,helsinki,Point,24.955328,60.197643,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,3,unit,3.9679887,,,,,,,,,
39745,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Kannusillanmäen väestönsuoja / Budosali 1,Kannbrobacken / Budosal 1,,Kannusillankatu 4,Kannbrogatan 4,Kannusillankatu 4,espoo,Point,24.652822,60.20597,b8eb3b35-a41c-415a-9c87-ae005d6906e5,Elinvoima,,,,espoo,28,unit,1.6296419,,,,,,,,,
53611,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Kannusillanmäen väestönsuoja / Budosali 2,Kannbrobacka / Budosal 2,,Kannusillankatu 4,Kannbrogatan 4,Kannusillankatu 4,espoo,Point,24.652733,60.20598,b8eb3b35-a41c-415a-9c87-ae005d6906e5,Elinvoima,,,,espoo,23,unit,1.7164707,,,,,,,,,
53614,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Kannusillanmäen väestönsuoja / Budosali 3,Kannbrobacka / Budosal 3,,Kannusillankatu 4,Kannbrogatan 4,Kannusillankatu 4,espoo,Point,24.652786,60.20598,b8eb3b35-a41c-415a-9c87-ae005d6906e5,Elinvoima,,,,espoo,26,unit,1.6659161,,,,,,,,,
39524,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Kannusillanmäen väestönsuoja / Kuntosali 1,Kannbrobacka / Gym 1,Kannusillanmäki Sports Hall / Gym 1,Kannusillankatu 4,Kannbrogatan 4,Kannusillankatu 4,espoo,Point,24.65239,60.205948,b8eb3b35-a41c-415a-9c87-ae005d6906e5,Elinvoima,,,,espoo,29,unit,1.6296419,,,,,,,,,
53613,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Kannusillanmäen väestönsuoja / Kuntosali 2,Kannbrobacka / Gym 2,Kannusillanmäki Sports Hall / Gym 2,Kannusillankatu 4,Kannbrogatan 4,Kannusillankatu 4,espoo,Point,24.652447,60.205948,b8eb3b35-a41c-415a-9c87-ae005d6906e5,Elinvoima,,,,espoo,30,unit,1.6296419,,,,,,,,,
39523,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Kannusillanmäen väestönsuoja / Liikuntasali,Kannbrobacken / Idrottssal,,Kannusillankatu 4,Kannbrogatan 4,Kannusillankatu 4,espoo,Point,24.652414,60.206127,b8eb3b35-a41c-415a-9c87-ae005d6906e5,Elinvoima,,,,espoo,22,unit,1.7215593,,,,,,,,,
57352,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Kannusillanmäen väestönsuojan liikuntatilat,Kannbrobacken idrottområden,Kannusillanmäki Sports Hall,Kannusillankatu 4,Kannbrogatan 4,Kannusillankatu 4,espoo,Point,24.653118,60.206146,b8eb3b35-a41c-415a-9c87-ae005d6906e5,Elinvoima,,,,espoo,21,unit,1.7219905,,,,,,,,,
9007,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Karstulantien yhteiskalliosuoja,Karstulavägens gemensamma bergskyddsrum,Karstulantie common bomb shelter,Karstulantie 4,Karstulavägen 4,,helsinki,Point,24.9535,60.197704,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,48,unit,1.1399947,,,,,,,,,
9008,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Kastelholmantien yhteiskalliosuoja,Kastelholmsvägens gemensamma bergskyddsrum,Kastelholmantie common bomb shelter,Olavinlinnantie 3,Olofborgsvägen 3,,helsinki,Point,25.078089,60.212944,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,43,unit,1.1538922,,,,,,,,,
8977,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Katri Valan puiston väestönsuoja,Befolkningsskyddsrummet i Katri Valas park,Katri Vala Park bomb shelter,Vilhonvuorenkatu 9a,Vilhelmsbergsgatan 9a,Vilhonvuorenkatu 9a,helsinki,Point,24.964174,60.18648,420121e5-e673-4549-b4fb-1d9347fb2cc1,Pelastuslaitos,Räddningsverket,Rescue Department,,helsinki,14,unit,3.2302492,,,,,,,,,
44964,municipal_service,kunnallinen palvelu,kommunal tjänst,municipal service,Kauniaisten palloiluhalli,Grankullas bollhall,,Asematie 23,Stationsvägen 23,Asematie 23,kauniainen,Point,24.718067,60.216606,2cd6c260-07cc-43df-bc36-a737338ddda0,"Kulttuuri- ja vapaa-aika, Kauniainen","Kultur- och fritid, Grankulla","Kulttuuri- ja vapaa-aika, Kauniainen",,kauniainen,63,unit,0.32029092,Kauniaistentie 10,Grankullavägen 10,Kauniaistentie 10,,,,,,
